DIFF_X	DIFF_Y	ANGLE	CAM_ID	MARKER_VALUE	X	Y	Z	LASTSEEN	CUR_POS	CUR_SPD	DISTANCE_FROM_HOME	DISTANCE_ARMEXTENDED	ANGLE_540	ANGLE_360
-12.85	-12.41	2	0	102	-186	-99	3759	1730179983.528078	1297569	496	3049	1	0	181
-13.76	-12.31	2	0	102	-211	-100	3825	1730179983.641076	1306659	507	3071	1	0	181
-14.65	-12.31	2	0	102	-231	-99	3812	1730179983.729705	1314111	493	3088	1	0	181
-15.46	-12.34	2	0	102	-254	-101	3877	1730179983.827807	1322194	501	3107	1	0	181
-16.37	-12.36	4	0	102	-268	-98	3769	1730179983.932541	1331187	505	3128	1	0	181
-17.23	-12.38	3	0	102	-296	-101	3875	1730179984.027918	1339290	501	3147	1	0	181
-18.22	-12.2	4	0	102	-313	-96	3791	1730179984.13469	1348339	502	3169	1	0	181
-19.05	-12.36	1	0	102	-326	-96	3724	1730179984.235447	1356373	493	3187	1	0	181
-20.0	-12.43	4	0	102	-357	-100	3828	1730179984.332975	1360368	498	3197	1	0	181
-20.78	-12.43	1	0	102	-372	-98	3794	1730179984.43577	1372849	500	3226	1	0	181
-21.81	-12.36	2	0	102	-394	-97	3781	1730179984.536879	1381862	499	3247	1	0	181
-46.8	-12.25	8	0	102	-793	-69	3188	1730179987.432674	1622384	501	3813	1	0	181
